Gemeinde|Art|Landkreis|Bezirk|AGS
Emmering|Gemeinde|Ebersberg|Oberbayern|09-175-136
Emmering|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-119
Emmerting|Gemeinde|Altötting|Oberbayern|09-171-114
Emskirchen|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-121
Emtmannsberg|Gemeinde|Bayreuth|Oberfranken|09-472-133
Engelsberg|Gemeinde|Traunstein|Oberbayern|09-189-115
Engelthal|Gemeinde|Nürnberger Land|Mittelfranken|09-574-120
Ensdorf|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-120
Eppenschlag|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-116
Eppishausen|Gemeinde|Unterallgäu|Schwaben|09-778-134
Erbendorf|Stadt|Tirschenreuth|Oberpfalz|09-377-116
Erding|Stadt|Erding|Oberbayern|09-177-117
Erdweg|Gemeinde|Dachau|Oberbayern|09-174-118
Eresing|Gemeinde|Landsberg am Lech|Oberbayern|09-181-118
Ergersheim|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-122
Ergolding|Markt|Landshut|Niederbayern|09-274-126
Ergoldsbach|Markt|Landshut|Niederbayern|09-274-127
Erharting|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-116
Ering|Gemeinde|Rottal-Inn|Niederbayern|09-277-118
Erkheim|Markt|Unterallgäu|Schwaben|09-778-136
Erlabrunn|Gemeinde|Würzburg|Unterfranken|09-679-128
Erlbach|Gemeinde|Altötting|Oberbayern|09-171-115
Erlenbach am Main|Stadt|Miltenberg|Unterfranken|09-676-122
Erlenbach bei Marktheidenfeld|Gemeinde|Main-Spessart|Unterfranken|09-677-125
Ermershausen|Gemeinde|Haßberge|Unterfranken|09-674-223
Ernsgaden|Gemeinde|Pfaffenhofen an der Ilm|Oberbayern|09-186-116
Eschau|Markt|Miltenberg|Unterfranken|09-676-123
Eschenbach in der Oberpfalz|Stadt|Neustadt an der Waldnaab|Oberpfalz|09-374-117
Eschenlohe|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-114
Eschlkam|Markt|Cham|Oberpfalz|09-372-124
Eslarn|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-118
Esselbach|Gemeinde|Main-Spessart|Unterfranken|09-677-126
Essenbach|Markt|Landshut|Niederbayern|09-274-128
Essing|Markt|Kelheim|Niederbayern|09-273-121
Estenfeld|Gemeinde|Würzburg|Unterfranken|09-679-130
Ettal|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-115
Ettenstatt|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-127
Ettringen|Gemeinde|Unterallgäu|Schwaben|09-778-137
Etzelwang|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-140
Etzenricht|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-119
Euerbach|Gemeinde|Schweinfurt|Unterfranken|09-678-128
Euerdorf|Markt|Bad Kissingen|Unterfranken|09-672-122
Eurasburg|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-123
Eurasburg|Gemeinde|Aichach-Friedberg|Schwaben|09-771-129
Eußenheim|Gemeinde|Main-Spessart|Unterfranken|09-677-127
Fahrenzhausen|Gemeinde|Freising|Oberbayern|09-178-123
Falkenberg|Markt|Rottal-Inn|Niederbayern|09-377-117
Falkenberg|Gemeinde|Tirschenreuth|Oberpfalz|09-277-119
Falkenfels|Gemeinde|Straubing-Bogen|Niederbayern|09-278-120
Falkenstein|Markt|Cham|Oberpfalz|09-372-125
Farchant|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-116
Faulbach|Gemeinde|Miltenberg|Unterfranken|09-676-124
Feichten an der Alz|Gemeinde|Altötting|Oberbayern|09-171-116
Feilitzsch|Gemeinde|Hof|Oberfranken|09-475-123
Feldafing|Gemeinde|Starnberg|Oberbayern|09-188-118
Feldkirchen|Gemeinde|München|Oberbayern|09-184-118
Feldkirchen|Gemeinde|Straubing-Bogen|Niederbayern|09-278-121
Feldkirchen-Westerham|Gemeinde|Rosenheim|Oberbayern|09-187-130
Fellen|Gemeinde|Main-Spessart|Unterfranken|09-677-128
Fellheim|Gemeinde|Unterallgäu|Schwaben|09-778-139
Fensterbach|Gemeinde|Schwandorf|Oberpfalz|09-376-125
Feucht|Markt|Nürnberger Land|Mittelfranken|09-574-123
Feuchtwangen|Stadt|Ansbach|Mittelfranken|09-571-145
Fichtelberg|Gemeinde|Bayreuth|Oberfranken|09-472-138
Finning|Gemeinde|Landsberg am Lech|Oberbayern|09-181-120
Finningen|Gemeinde|Dillingen an der Donau|Schwaben|09-773-150
Finsing|Gemeinde|Erding|Oberbayern|09-177-118
Fischach|Markt|Augsburg|Schwaben|09-772-141
Fischbachau|Gemeinde|Miesbach|Oberbayern|09-182-114
Fischen im Allgäu|Gemeinde|Oberallgäu|Schwaben|09-780-121
Flachslanden|Markt|Ansbach|Mittelfranken|09-571-146
Fladungen|Stadt|Rhön-Grabfeld|Unterfranken|09-673-123
Flintsbach am Inn|Gemeinde|Rosenheim|Oberbayern|09-187-131
Floß|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-121
Flossenbürg|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-122
Forchheim|Große Kreisstadt|Forchheim|Oberfranken|09-474-126
Forheim|Gemeinde|Donau-Ries|Schwaben|09-779-146
Forstern|Gemeinde|Erding|Oberbayern|09-177-119
Forstinning|Gemeinde|Ebersberg|Oberbayern|09-175-118
Frammersbach|Markt|Main-Spessart|Unterfranken|09-677-129
Frankenwinheim|Gemeinde|Schweinfurt|Unterfranken|09-678-130
Frasdorf|Gemeinde|Rosenheim|Oberbayern|09-187-132
Frauenau|Gemeinde|Regen|Niederbayern|09-276-121
Frauenneuharting|Gemeinde|Ebersberg|Oberbayern|09-175-119
Fraunberg|Gemeinde|Erding|Oberbayern|09-177-120
Freihung|Markt|Amberg-Sulzbach|Oberpfalz|09-371-121
Freilassing|Stadt|Berchtesgadener Land|Oberbayern|09-172-118
Freising|Große Kreisstadt|Freising|Oberbayern|09-178-124
Fremdingen|Gemeinde|Donau-Ries|Schwaben|09-779-147
Frensdorf|Gemeinde|Bamberg|Oberfranken|09-471-131
Freudenberg|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-122
Freystadt|Stadt|Neumarkt in der Oberpfalz|Oberpfalz|09-373-126
Freyung|Stadt|Freyung-Grafenau|Niederbayern|09-272-118
Frickenhausen am Main|Markt|Würzburg|Unterfranken|09-679-131
Fridolfing|Gemeinde|Traunstein|Oberbayern|09-189-118
Friedberg|Stadt|Aichach-Friedberg|Schwaben|09-771-130
Friedenfels|Gemeinde|Tirschenreuth|Oberpfalz|09-377-118
Friesenried|Gemeinde|Ostallgäu|Schwaben|09-777-128
Frontenhausen|Markt|Dingolfing-Landau|Niederbayern|09-279-115
Fuchsmühl|Markt|Tirschenreuth|Oberpfalz|09-377-119
Fuchsstadt|Gemeinde|Bad Kissingen|Unterfranken|09-672-124
Fuchstal|Gemeinde|Landsberg am Lech|Oberbayern|09-181-121
Fünfstetten|Gemeinde|Donau-Ries|Schwaben|09-779-148
Fürsteneck|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-119
Fürstenfeldbruck|Große Kreisstadt|Fürstenfeldbruck|Oberbayern|09-179-121
Fürstenstein|Gemeinde|Passau|Niederbayern|09-275-121
Fürstenzell|Markt|Passau|Niederbayern|09-275-122
Furth|Gemeinde|Landshut|Niederbayern|09-274-132
Furth im Wald|Stadt|Cham|Oberpfalz|09-372-126
Füssen|Stadt|Ostallgäu|Schwaben|09-777-129
Gablingen|Gemeinde|Augsburg|Schwaben|09-772-145
Gachenbach|Gemeinde|Neuburg-Schrobenhausen|Oberbayern|09-185-131
Gädheim|Gemeinde|Haßberge|Unterfranken|09-674-139
Gaimersheim|Markt|Eichstätt|Oberbayern|09-176-126
Gaißach|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-124
Gallmersgarten|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-124
Gammelsdorf|Gemeinde|Freising|Oberbayern|09-178-125
Gangkofen|Markt|Rottal-Inn|Niederbayern|09-277-121
Garching an der Alz|Gemeinde|Altötting|Oberbayern|09-171-117
Garching bei München|Stadt|München|Oberbayern|09-184-119
Garmisch-Partenkirchen|Markt|Garmisch-Partenkirchen|Oberbayern|09-180-117
Gars am Inn|Markt|Mühldorf am Inn|Oberbayern|09-183-118
Gattendorf|Gemeinde|Hof|Oberfranken|09-475-127
Gaukönigshofen|Gemeinde|Würzburg|Unterfranken|09-679-134
Gauting|Gemeinde|Starnberg|Oberbayern|09-188-120
Gebenbach|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-123
Gebsattel|Gemeinde|Ansbach|Mittelfranken|09-571-152
Gefrees|Stadt|Bayreuth|Oberfranken|09-472-139
Geiersthal|Gemeinde|Regen|Niederbayern|09-276-122
Geiselbach|Gemeinde|Aschaffenburg|Unterfranken|09-671-119
Geiselhöring|Stadt|Straubing-Bogen|Niederbayern|09-278-123
Geiselwind|Markt|Kitzingen|Unterfranken|09-675-127
Geisenfeld|Stadt|Pfaffenhofen an der Ilm|Oberbayern|09-186-122
Geisenhausen|Markt|Landshut|Niederbayern|09-274-134
Gelchsheim|Markt|Würzburg|Unterfranken|09-679-135
Geldersheim|Gemeinde|Schweinfurt|Unterfranken|09-678-132
Geltendorf|Gemeinde|Landsberg am Lech|Oberbayern|09-181-122
Gemünden am Main|Stadt|Main-Spessart|Unterfranken|09-677-131
Genderkingen|Gemeinde|Donau-Ries|Schwaben|09-779-149
Georgenberg|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-123
Georgensgmünd|Gemeinde|Roth|Mittelfranken|09-576-121
Gerach|Gemeinde|Bamberg|Oberfranken|09-471-133
Geratskirchen|Gemeinde|Rottal-Inn|Niederbayern|09-277-122
Gerbrunn|Gemeinde|Würzburg|Unterfranken|09-679-136
Geretsried|Stadt|Bad Tölz-Wolfratshausen|Oberbayern|09-173-126
Gerhardshofen|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-125
Germaringen|Gemeinde|Ostallgäu|Schwaben|09-777-130
Germering|Große Kreisstadt|Fürstenfeldbruck|Oberbayern|09-179-123
Geroda|Markt|Bad Kissingen|Unterfranken|09-672-126
Geroldsgrün|Gemeinde|Hof|Oberfranken|09-475-128
Geroldshausen|Gemeinde|Würzburg|Unterfranken|09-679-137
Gerolfingen|Gemeinde|Ansbach|Mittelfranken|09-571-154
Gerolsbach|Gemeinde|Pfaffenhofen an der Ilm|Oberbayern|09-186-125
Gerolzhofen|Stadt|Schweinfurt|Unterfranken|09-678-134
Gersthofen|Stadt|Augsburg|Schwaben|09-772-147
Gerzen|Gemeinde|Landshut|Niederbayern|09-274-135
Gesees|Gemeinde|Bayreuth|Oberfranken|09-472-140
Geslau|Gemeinde|Ansbach|Mittelfranken|09-571-155
Gessertshausen|Gemeinde|Augsburg|Schwaben|09-772-148
Gestratz|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-112
Giebelstadt|Markt|Würzburg|Unterfranken|09-679-138
Gilching|Gemeinde|Starnberg|Oberbayern|09-188-121
Glashütten|Gemeinde|Bayreuth|Oberfranken|09-472-141
Glattbach|Gemeinde|Aschaffenburg|Unterfranken|09-671-120
Gleiritsch|Gemeinde|Schwandorf|Oberpfalz|09-376-131
Gleißenberg|Gemeinde|Cham|Oberpfalz|09-372-128
Glonn|Markt|Ebersberg|Oberbayern|09-175-121
Glött|Gemeinde|Dillingen an der Donau|Schwaben|09-773-133
Gmund am Tegernsee|Gemeinde|Miesbach|Oberbayern|09-182-116
Gnotzheim|Markt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-133
Gochsheim|Gemeinde|Schweinfurt|Unterfranken|09-678-135
Goldbach|Markt|Aschaffenburg|Unterfranken|09-671-121
Goldkronach|Stadt|Bayreuth|Oberfranken|09-472-143
Gollhofen|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-127
Görisried|Gemeinde|Ostallgäu|Schwaben|09-777-131
Gössenheim|Gemeinde|Main-Spessart|Unterfranken|09-677-132
Gößweinstein|Markt|Forchheim|Oberfranken|09-474-129
Gotteszell|Gemeinde|Regen|Niederbayern|09-276-123
Gottfrieding|Gemeinde|Dingolfing-Landau|Niederbayern|09-279-116
Graben|Gemeinde|Augsburg|Schwaben|09-772-149
Grabenstätt|Gemeinde|Traunstein|Oberbayern|09-189-119
Gräfelfing|Gemeinde|München|Oberbayern|09-184-120
Grafenau|Stadt|Freyung-Grafenau|Niederbayern|09-272-120
Gräfenberg|Stadt|Forchheim|Oberfranken|09-474-132
Gräfendorf|Gemeinde|Main-Spessart|Unterfranken|09-677-133
Grafengehaig|Markt|Kulmbach|Oberfranken|09-477-117
Grafenrheinfeld|Gemeinde|Schweinfurt|Unterfranken|09-678-136
Grafenwiesen|Gemeinde|Cham|Oberpfalz|09-372-130
Grafenwöhr|Stadt|Neustadt an der Waldnaab|Oberpfalz|09-374-124
Grafing bei München|Stadt|Ebersberg|Oberbayern|09-175-122
Grafling|Gemeinde|Deggendorf|Niederbayern|09-271-122
Grafrath|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-125
Grainau|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-118
Grainet|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-121
Grasbrunn|Gemeinde|München|Oberbayern|09-184-121
Grassau|Markt|Traunstein|Oberbayern|09-189-120
Grattersdorf|Gemeinde|Deggendorf|Niederbayern|09-271-123
Greding|Stadt|Roth|Mittelfranken|09-576-122
Greifenberg|Gemeinde|Landsberg am Lech|Oberbayern|09-181-123
Greiling|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-127
Gremsdorf|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-126
Grettstadt|Gemeinde|Schweinfurt|Unterfranken|09-678-138
Greußenheim|Gemeinde|Würzburg|Unterfranken|09-679-141
Griesstätt|Gemeinde|Rosenheim|Oberbayern|09-187-134
Gröbenzell|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-126
Großaitingen|Gemeinde|Augsburg|Schwaben|09-772-151
Großbardorf|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-126
Großeibstadt|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-127
Großenseebach|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-127
Großhabersdorf|Gemeinde|Fürth|Mittelfranken|09-573-115
Großheirath|Gemeinde|Coburg|Oberfranken|09-473-132
Großheubach|Markt|Miltenberg|Unterfranken|09-676-125
Großkarolinenfeld|Gemeinde|Rosenheim|Oberbayern|09-187-137
Großlangheim|Markt|Kitzingen|Unterfranken|09-675-131
Großmehring|Gemeinde|Eichstätt|Oberbayern|09-176-129
Großostheim|Markt|Aschaffenburg|Unterfranken|09-671-122
Großwallstadt|Gemeinde|Miltenberg|Unterfranken|09-676-126
Großweil|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-119
Grub am Forst|Gemeinde|Coburg|Oberfranken|09-473-134
Grünenbach|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-113
Grünwald|Gemeinde|München|Oberbayern|09-184-122
Gstadt am Chiemsee|Gemeinde|Rosenheim|Oberbayern|09-187-138
Gundelfingen an der Donau|Stadt|Dillingen an der Donau|Schwaben|09-773-136
Gundelsheim|Gemeinde|Bamberg|Oberfranken|09-471-137
Gundremmingen|Gemeinde|Günzburg|Schwaben|09-774-136
Güntersleben|Gemeinde|Würzburg|Unterfranken|09-679-142
Günzach|Gemeinde|Ostallgäu|Schwaben|09-777-138
Günzburg|Große Kreisstadt|Günzburg|Schwaben|09-774-135
Gunzenhausen|Stadt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-136
Guteneck|Gemeinde|Schwandorf|Oberpfalz|09-376-133
Gutenstetten|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-128
Guttenberg|Gemeinde|Kulmbach|Oberfranken|09-477-118
Haag|Gemeinde|Bayreuth|Oberfranken|09-472-146
Haag an der Amper|Gemeinde|Freising|Oberbayern|09-178-129
Haag in Oberbayern|Markt|Mühldorf am Inn|Oberbayern|09-183-119
Haar|Gemeinde|München|Oberbayern|09-184-123
Haarbach|Gemeinde|Passau|Niederbayern|09-275-125
Habach|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-126
Hafenlohr|Gemeinde|Main-Spessart|Unterfranken|09-677-135
Hagelstadt|Gemeinde|Regensburg|Oberpfalz|09-375-143
Hagenbüchach|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-129
Hahnbach|Markt|Amberg-Sulzbach|Oberpfalz|09-371-126
Haibach|Gemeinde|Straubing-Bogen|Niederbayern|09-278-129
Haibach|Gemeinde|Aschaffenburg|Unterfranken|09-671-124
Haidmühle|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-122
Haimhausen|Gemeinde|Dachau|Oberbayern|09-174-121
Haiming|Gemeinde|Altötting|Oberbayern|09-171-118
Hainsfarth|Gemeinde|Donau-Ries|Schwaben|09-779-154
Halblech|Gemeinde|Ostallgäu|Schwaben|09-777-173
Haldenwang|Gemeinde|Oberallgäu|Schwaben|09-774-140
Haldenwang|Gemeinde|Günzburg|Schwaben|09-780-122
Halfing|Gemeinde|Rosenheim|Oberbayern|09-187-139
Hallbergmoos|Gemeinde|Freising|Oberbayern|09-178-130
Hallerndorf|Gemeinde|Forchheim|Oberfranken|09-474-133
Hallstadt|Stadt|Bamberg|Oberfranken|09-471-140
Halsbach|Gemeinde|Altötting|Oberbayern|09-171-119
Hammelburg|Stadt|Bad Kissingen|Unterfranken|09-672-127
Happurg|Gemeinde|Nürnberger Land|Mittelfranken|09-574-128
Harburg|Stadt|Donau-Ries|Schwaben|09-779-155
Harsdorf|Gemeinde|Kulmbach|Oberfranken|09-477-119
Hartenstein|Gemeinde|Nürnberger Land|Mittelfranken|09-574-129
Haselbach|Gemeinde|Straubing-Bogen|Niederbayern|09-278-134
Hasloch|Gemeinde|Main-Spessart|Unterfranken|09-677-137
Haßfurt|Stadt|Haßberge|Unterfranken|09-674-147
Hattenhofen|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-128
Haundorf|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-138
Haunsheim|Gemeinde|Dillingen an der Donau|Schwaben|09-773-137
Hausen|Gemeinde|Kelheim|Niederbayern|09-273-125
Hausen|Gemeinde|Forchheim|Oberfranken|09-474-134
Hausen|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-129
Hausen|Gemeinde|Miltenberg|Unterfranken|09-676-128
Hausen bei Würzburg|Gemeinde|Würzburg|Unterfranken|09-679-143
Hausham|Gemeinde|Miesbach|Oberbayern|09-182-119
Hauzenberg|Stadt|Passau|Niederbayern|09-275-126
Hawangen|Gemeinde|Unterallgäu|Schwaben|09-778-149
Hebertsfelden|Gemeinde|Rottal-Inn|Niederbayern|09-277-124
Hebertshausen|Gemeinde|Dachau|Oberbayern|09-174-122
Heideck|Stadt|Roth|Mittelfranken|09-576-126
Heidenheim|Markt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-140
Heigenbrücken|Gemeinde|Aschaffenburg|Unterfranken|09-671-126
Heiligenstadt in Oberfranken|Markt|Bamberg|Oberfranken|09-471-142
Heilsbronn|Stadt|Ansbach|Mittelfranken|09-571-165
Heimbuchenthal|Gemeinde|Aschaffenburg|Unterfranken|09-671-127
Heimenkirch|Markt|Lindau (Bodensee)|Schwaben|09-776-114
Heimertingen|Gemeinde|Unterallgäu|Schwaben|09-778-150
Heinersreuth|Gemeinde|Bayreuth|Oberfranken|09-472-150
Heinrichsthal|Gemeinde|Aschaffenburg|Unterfranken|09-671-128
Heldenstein|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-120
Helmbrechts|Stadt|Hof|Oberfranken|09-475-136
Helmstadt|Markt|Würzburg|Unterfranken|09-679-144
Hemau|Stadt|Regensburg|Oberpfalz|09-375-148
Hemhofen|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-130
Hemmersheim|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-130
Hendungen|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-130
Henfenfeld|Gemeinde|Nürnberger Land|Mittelfranken|09-574-131
Hengersberg|Markt|Deggendorf|Niederbayern|09-271-125
Hepberg|Gemeinde|Eichstätt|Oberbayern|09-176-131
Herbstadt|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-131
Heretsried|Gemeinde|Augsburg|Schwaben|09-772-156
Hergatz|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-131
Hergensweiler|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-115
Heroldsbach|Gemeinde|Forchheim|Oberfranken|09-474-135
Heroldsberg|Markt|Erlangen-Höchstadt|Mittelfranken|09-572-131
Herrieden|Stadt|Ansbach|Mittelfranken|09-571-166
Herrngiersdorf|Gemeinde|Kelheim|Niederbayern|09-273-127
Herrsching am Ammersee|Gemeinde|Starnberg|Oberbayern|09-188-124
Hersbruck|Stadt|Nürnberger Land|Mittelfranken|09-574-132
Herzogenaurach|Stadt|Erlangen-Höchstadt|Mittelfranken|09-572-132
Heßdorf|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-133
Hettenshausen|Gemeinde|Pfaffenhofen an der Ilm|Oberbayern|09-186-126
Hettstadt|Gemeinde|Würzburg|Unterfranken|09-679-146
Hetzles|Gemeinde|Forchheim|Oberfranken|09-474-137
Heustreu|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-133
Hilgertshausen-Tandern|Gemeinde|Dachau|Oberbayern|09-174-147
Hilpoltstein|Stadt|Roth|Mittelfranken|09-576-127
Hiltenfingen|Gemeinde|Augsburg|Schwaben|09-772-157
Hiltpoltstein|Markt|Forchheim|Oberfranken|09-474-138
Himmelkron|Gemeinde|Kulmbach|Oberfranken|09-477-121
Himmelstadt|Gemeinde|Main-Spessart|Unterfranken|09-677-142
Hinterschmiding|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-126
Hirschaid|Markt|Bamberg|Oberfranken|09-471-145
Hirschau|Stadt|Amberg-Sulzbach|Oberpfalz|09-371-127
Hirschbach|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-128
Hitzhofen|Gemeinde|Eichstätt|Oberbayern|09-176-132
Höchberg|Markt|Würzburg|Unterfranken|09-679-147
Höchheim|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-134
Höchstadt an der Aisch|Stadt|Erlangen-Höchstadt|Mittelfranken|09-572-135
Höchstädt an der Donau|Stadt|Dillingen an der Donau|Schwaben|09-773-139
Hochstadt am Main|Gemeinde|Lichtenfels|Oberfranken|09-478-127
Höchstädt im Fichtelgebirge|Gemeinde|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-126
Hofheim in Unterfranken|Stadt|Haßberge|Unterfranken|09-674-149
Hofkirchen|Markt|Passau|Niederbayern|09-275-127
Hofstetten|Gemeinde|Landsberg am Lech|Oberbayern|09-181-124
Hohenaltheim|Gemeinde|Donau-Ries|Schwaben|09-779-162
Hohenau|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-127
Hohenberg an der Eger|Stadt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-127
Hohenbrunn|Gemeinde|München|Oberbayern|09-184-129
Hohenburg|Markt|Amberg-Sulzbach|Oberpfalz|09-371-129
Hohenfels|Markt|Neumarkt in der Oberpfalz|Oberpfalz|09-373-134
Hohenfurch|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-129
Hohenkammer|Gemeinde|Freising|Oberbayern|09-178-133
Höhenkirchen-Siegertsbrunn|Gemeinde|München|Oberbayern|09-184-127
Hohenlinden|Gemeinde|Ebersberg|Oberbayern|09-175-123
Hohenpeißenberg|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-130
Hohenpolding|Gemeinde|Erding|Oberbayern|09-177-121
Hohenroth|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-135
Hohenthann|Gemeinde|Landshut|Niederbayern|09-274-141
Hohenwart|Markt|Pfaffenhofen an der Ilm|Oberbayern|09-186-128
Hohenwarth|Gemeinde|Cham|Oberpfalz|09-372-135
Hollenbach|Gemeinde|Aichach-Friedberg|Schwaben|09-771-140
Hollfeld|Stadt|Bayreuth|Oberfranken|09-472-154
Hollstadt|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-136
Holzgünz|Gemeinde|Unterallgäu|Schwaben|09-778-151
Holzheim (bei Dillingen an der Donau)|Gemeinde|Dillingen an der Donau|Schwaben|09-773-140
Holzheim (bei Neu-Ulm)|Gemeinde|Neu-Ulm|Schwaben|09-775-126
Holzheim|Gemeinde|Donau-Ries|Schwaben|09-779-163
Holzheim am Forst|Gemeinde|Regensburg|Oberpfalz|09-375-153
Holzkirchen|Markt|Miesbach|Oberbayern|09-182-120
Holzkirchen|Gemeinde|Würzburg|Unterfranken|09-679-149
Hopferau|Gemeinde|Ostallgäu|Schwaben|09-777-135
Horgau|Gemeinde|Augsburg|Schwaben|09-772-159
Hörgertshausen|Gemeinde|Freising|Oberbayern|09-178-132
Hösbach|Markt|Aschaffenburg|Unterfranken|09-671-130
Höslwang|Gemeinde|Rosenheim|Oberbayern|09-187-145
Höttingen|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-141
Huglfing|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-131
Huisheim|Gemeinde|Donau-Ries|Schwaben|09-779-167
Hummeltal|Gemeinde|Bayreuth|Oberfranken|09-472-155
Hunderdorf|Gemeinde|Straubing-Bogen|Niederbayern|09-278-139
Hunding|Gemeinde|Deggendorf|Niederbayern|09-271-126
Hurlach|Gemeinde|Landsberg am Lech|Oberbayern|09-181-126
Hutthurm|Markt|Passau|Niederbayern|09-275-128
Ichenhausen|Stadt|Günzburg|Schwaben|09-774-143
Icking|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-130
Iffeldorf|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-132
Igensdorf|Markt|Forchheim|Oberfranken|09-474-140
Iggensbach|Gemeinde|Deggendorf|Niederbayern|09-271-127
Igling|Gemeinde|Landsberg am Lech|Oberbayern|09-181-127
Ihrlerstein|Gemeinde|Kelheim|Niederbayern|09-273-133
Illertissen|Stadt|Neu-Ulm|Schwaben|09-775-129
Illesheim|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-133
Illschwang|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-131
Ilmmünster|Gemeinde|Pfaffenhofen an der Ilm|Oberbayern|09-186-130
Immenreuth|Gemeinde|Tirschenreuth|Oberpfalz|09-377-127
Immenstadt im Allgäu|Stadt|Oberallgäu|Schwaben|09-780-124
Inchenhofen|Markt|Aichach-Friedberg|Schwaben|09-771-141
Ingenried|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-133
Innernzell|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-128
Inning am Ammersee|Gemeinde|Starnberg|Oberbayern|09-188-126
Inning am Holz|Gemeinde|Erding|Oberbayern|09-177-122
Insingen|Gemeinde|Ansbach|Mittelfranken|09-571-169
Inzell|Gemeinde|Traunstein|Oberbayern|09-189-124
Iphofen|Stadt|Kitzingen|Unterfranken|09-675-139
Ippesheim|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-134
